"id","region","province","city"
"53","Rabat-Salé-Kénitra","Sidi Kacem","JORF EL MELHA MUN"
"54","Rabat-Salé-Kénitra","Sidi Kacem","SIDI KACEM MUN"
"55","Rabat-Salé-Kénitra","Sidi Slimane","SIDI SLIMANE MUN"
"56","Rabat-Salé-Kénitra","Skhirate-Temara","TÉMARA MUN"
"57","Béni Mellal-Khénifra","Azilal","AZILAL MUN"
"58","Béni Mellal-Khénifra","Azilal","DEMNATE MUN"
"59","Béni Mellal-Khénifra","Beni Mellal","BÉNI MELLAL MUN"
"60","Béni Mellal-Khénifra","Beni Mellal","KASBA TADLA MUN"
"61","Béni Mellal-Khénifra","Beni Mellal","OULED MBAREK"
"62","Béni Mellal-Khénifra","Fkih Ben Saleh","FQUIH BEN SALAH MUN"
"63","Béni Mellal-Khénifra","Khenifra","KHENIFRA MUN"
"64","Béni Mellal-Khénifra","Khenifra","MRIRT MUN"
"65","Béni Mellal-Khénifra","Khouribga","BEJAAD MUN"
"66","Béni Mellal-Khénifra","Khouribga","KHOURIBGA MUN"
"67","Béni Mellal-Khénifra","Khouribga","OUED ZEM MUN"
"68","Casablanca-Settat","Benslimane","BENSLIMANE MUN"
"69","Casablanca-Settat","Berrechid","BERRECHID MUN"
"70","Casablanca-Settat","El Jadida","AZEMMOUR MUN"
"71","Casablanca-Settat","El Jadida","EL JADIDA MUN"
"72","Casablanca-Settat","Mediouna","MEDIOUNA MUN"
"73","Casablanca-Settat","Mediouna","SIDI HAJJAJ OUED HASSAR"
"74","Casablanca-Settat","Mohammedia","MOHAMMADIA MUN"
"75","Casablanca-Settat","Nouaceur","BOUSKOURA MUN"
"76","Casablanca-Settat","Nouaceur","DAR BOUAZZA MUN"
"77","Casablanca-Settat","Settat","BEN AHMED MUN"
"78","Casablanca-Settat","Settat","SETTAT MUN"
"79","Casablanca-Settat","Sidi Bennour","SIDI BENNOUR MUN"
"80","Casablanca-Settat","Sidi Bennour","ZEMAMRA MUN"
"81","Casablanca-Settat","Casablanca Anfa","EL MAARIF ARROND"
"82","Casablanca-Settat","Casablanca Anfa","SIDI BELYOUT ARROND"
"83","Casablanca-Settat","Al Fida-Mers Sultan","AL-FIDA ARROND"
"84","Casablanca-Settat","Aïn Sebaâ-Hay Mohammadi","HAY MOHAMMADI ARROND"
"85","Casablanca-Settat","Hay Hassani","HAY-HASSANI ARROND"
"86","Casablanca-Settat","Aïn Chok","AÎN-CHOCK ARROND"
"87","Casablanca-Settat","Sidi Bernoussi","SIDI BERNOUSSI ARROND"
"88","Casablanca-Settat","Sidi Bernoussi","SIDI MOUMEN ARROND"
"89","Casablanca-Settat","Ben Msick","BEN MSICK ARROND"
"90","Casablanca-Settat","Moulay Rachid","SIDI OTHMANE ARROND"
"91","Marrakech-Safi","Al Haouz","TAHANNAOUT MUN"
"92","Marrakech-Safi","Chichaoua","CHICHAOUA MUN"
"93","Marrakech-Safi","El Kelaa Des Sraghna","EL KELAÂ DES SRAGHNA MUN"
"94","Marrakech-Safi","El Kelaa Des Sraghna","TAMALLALT MUN"
"95","Marrakech-Safi","Essaouira","ESSAOUIRA MUN"
"96","Marrakech-Safi","Marrakech","GUELIZ ARROND"
"97","Marrakech-Safi","Marrakech","MARRAKECH-MÉDINA ARROND"
"98","Marrakech-Safi","Marrakech","MÉNARA ARROND"
"99","Marrakech-Safi","Marrakech","SIDI YOUSSEF BEN ALI ARROND"
"100","Marrakech-Safi","Marrakech","SAADA"
"101","Marrakech-Safi","Rehamena","BEN GUERIR MUN"
"102","Marrakech-Safi","Safi","SAFI MUN"
"103","Marrakech-Safi","Youssoufia","YOUSSOUFIA MUN"
"104","Drâa-Tafilalet","Errachidia","ARFOUD MUN"
"105","Drâa-Tafilalet","Errachidia","ERRACHIDIA MUN"
"106","Drâa-Tafilalet","Errachidia","GOULMIMA MUN"
"107","Drâa-Tafilalet","Midelt","MIDELT MUN"
"108","Drâa-Tafilalet","Midelt","ER-RICH MUN"
"109","Drâa-Tafilalet","Ouarzazate","OUARZAZATE MUN"
"110","Drâa-Tafilalet","Tinghir","KALAAT MGOUNA MUN"
"111","Drâa-Tafilalet","Tinghir","TINGHIR MUN"
"112","Drâa-Tafilalet","Zagora","ZAGORA MUN"
"113","Souss-Massa","Agadir Ida Ou Tanane","AGADIR MUN"
"114","Souss-Massa","Chtouka Ait Baha","BIOUGRA MUN"
"115","Souss-Massa","Inezgane Ait Melloul","INEZGANE MUN"
"116","Souss-Massa","Taroudant","OULAD TEIMA MUN"
"117","Souss-Massa","Taroudant","TAROUDANNT MUN"
"118","Souss-Massa","Tata","TATA MUN"
"119","Souss-Massa","Tiznit","TIZNIT MUN"
"120","Guelmim-Oued Noun","Assa-zag","ASSA MUN"
"121","Guelmim-Oued Noun","Guelmim","BOUIZAKARNE MUN"
"122","Guelmim-Oued Noun","Guelmim","GUELMIM MUN"
"123","Guelmim-Oued Noun","Sidi Ifni","SIDI IFNI MUN"
"124","Guelmim-Oued Noun","Tan Tan","TAN TAN MUN"
"125","Laayoune-Sakia El Hamra","Boujdour","BOUJDOUR MUN"
"126","Laayoune-Sakia El Hamra","Es Semara","ES-SEMARA MUN"
"127","Laayoune-Sakia El Hamra","Laayoune","LAAYOUNE MUN"
"128","Eddakhla-Oued Eddahab","Oued Ed-Dahab","DAKHLA MUN"
"129","Tanger-Tétouan-Al Hoceïma","Tétouan","TETOUAN"
"131","Oriental","Oujda-Angad","OUJDA"
"133","Tanger-Tétouan-Al Hoceïma","Chefchaouen","CHEFCHAOUEN"
"135","Béni Mellal-Khénifra","Béni Mellal","BÉNI MELLAL"
"136","Fès-Meknès","Fès","FES"
"144","Tanger-Tétouan-Al Hoceïma","Tanger-Assilah","TANGER"
"149","Casablanca-Settat","Casablanca","TIT MELLIL"
"150","Tanger-Tétouan-Al Hoceïma","Al Hoceïma","AL HOCEIMA"
"152","Rabat-Salé-Kénitra","Rabat","RABAT"
"153","Souss-Massa","Tiznit","TIZNIT"
"154","Souss-Massa","Agadir-Ida-Ou-Tanane","AGADIR"
"155","Casablanca-Settat","Casablanca","CASABLANCA"
"156","Tanger-Tétouan-Al Hoceïma","Fahs-Anjra","BELYOUNECH"
"157","Marrakech-Safi","Youssoufia","YOUSSOUFIA"
"158","Casablanca-Settat","El Jadida","CHEMAIA"
"159","Casablanca-Settat","El Jadida","ECHEMMAIA"
"160","Béni Mellal-Khénifra","Khouribga","CHP KHOURIBGA"
"163","Tanger-Tétouan-Al Hoceïma","Larache","LARACHE"
"164","Tanger-Tétouan-Al Hoceïma","Ouezzane","OUAZZANE"
"166","Tanger-Tétouan-Al Hoceïma","Tanger-Assilah","ASSILAH"
"168","Souss-Massa","Agadir-Ida-Ou-Tanane","TIMITAR"
"170","Souss-Massa","Agadir-Ida-Ou-Tanane","DRARGA"
"171","Rabat-Salé-Kénitra","Khémisset","SIDI ALI BELKACEM"
"173","Béni Mellal-Khénifra","Béni Mellal","SHISHAWA"
"174","Béni Mellal-Khénifra","Béni Mellal","KASBA TADLA"
"175","Fès-Meknès","Meknès","MEKNES"
"176","Tanger-Tétouan-Al Hoceïma","Tétouan","MDIQ"
"177","Oriental","Jerada","TOUISSIT"
"178","Drâa-Tafilalet","Ouarzazate","OUARZAZATE"
"181","Oriental","Nador","BENI ENZAR"
"183","Oriental","Berkane","BERKANE"
"185","Guelmim-Oued Noun","Guelmim","TOULAL"
"186","Oriental","Figuig","FIGUIG"
"188","Oriental","Taourirt","TAOURIRT"
"189","Oriental","Taourirt","TAURIRT"
"190","Casablanca-Settat","Mohammedia","MOHAMMEDIA"
"196","Rabat-Salé-Kénitra","Kénitra","KENITRA"
"197","Rabat-Salé-Kénitra","Salé","SALE"
"199","Souss-Massa","Inezgane-Aït Melloul","AÏT MELLOUL"
"200","Casablanca-Settat","El Jadida","SAADINA"
"201","Rabat-Salé-Kénitra","Skhirate-Témara","TEMARA"
"202","Guelmim-Oued Noun","Sidi Ifni","SIDI IFNI"
"203","Béni Mellal-Khénifra","Azilal","AIT OUQABLI"
"204","Tanger-Tétouan-Al Hoceïma","Al Hoceïma","TARGUIST"
"207","Tanger-Tétouan-Al Hoceïma","Larache","KSAR-EL-KEBIR"
"210","Tanger-Tétouan-Al Hoceïma","Tétouan","MARTIL"
"213","Casablanca-Settat","Settat","SETTAT"
"214","Casablanca-Settat","Settat","BEN AHMED"
"215","Fès-Meknès","Boulemane","IMOUZZER MARMOUCHA"
"216","Marrakech-Safi","Al Haouz","AOURIR"
"217","Oriental","Nador","BNI KARRICH"
