"id","name","place_id","address","type","beds","phone","email","website","created_at"
"63","Khémisset","45","Route de Meknès, Khemisset","HP","300","0573737373",NULL,NULL,"2025-12-14 14:22:20"
"64","Roummani","46","Route de Marrakech, Rommani","HPR","150","0525832345","roummani.hopital@gmail.com","https://www.hopital-roummani.ma","2025-12-14 14:22:20"
"65","Tiflet","47","Route de Tiflet, Tiflet, 40100","HPR","500","0527212121",NULL,NULL,"2025-12-14 14:22:20"
"66","Ibn Sina","48","Rue Ibn Sina, Agdal Riyad, Rabat","HIR","500","0537763131",NULL,NULL,"2025-12-14 14:22:20"
"67","Hôpital Des Spécialités","48","Boulevard de l'Académie, Agdal, Rabat 10050","HIR","500","0537757575",NULL,NULL,"2025-12-14 14:22:20"
"68","Maternité Souissi","48","Rue Ibn Sina, Agdal, Rabat 10000","HIR","600","0537633131",NULL,NULL,"2025-12-14 14:22:20"
"69","Hôpital D'enfants","48","Boulevard de l'Académie, Agdal Riyad, Marrakech","HIR","200","0524383131","hpedenfants@hopital.ma","https://www.hopital.ma/hpedenfants","2025-12-14 14:22:20"
"70","Maternité Orangers","48","Rue de l'Hôpital, Agdal Riyad","HIR","150","0522791111","materniteorangers@gmail.com","https://www.materniteorangers.ma","2025-12-14 14:22:20"
"71","Med Ben Abdellah","48","Boulevard de l'Académie, 10000 Rabat","HIR","1000","0537733131",NULL,NULL,"2025-12-14 14:22:20"
"72","My Youssef","49","Boulevard Hassan II, Hassan","HIR","250","0535833456","myyoussef.hassan@hopitaux.ma","https://www.my-youssef-hassan.ma","2025-12-14 14:22:20"
"73","Moulay Youssef (Ancien hôpital de Rabat)","49","B.P. 14000, Hassan","HR","1000","0537633131",NULL,NULL,"2025-12-14 14:22:20"
"74","El Ayachi","50","Bab Lamrissa, Rabat","HIR","300","0537733131",NULL,NULL,"2025-12-14 14:22:20"
"75","Moulay Abdellah (Hôp.préféctoral)","51","Hôpital Moulay Abdellah, Hssaine, Arrondissement de Hssaine","HP","500","0661616161","hpmoulayabdellah@minss.gov.ma","https://www.minss.gov.ma/fr/hopitaux/moulay-abdellah","2025-12-14 14:22:20"
"76","Arrazi","52","Route de Tabriquet, 24000 Tabriquet","CPU","250","0548831414","hospitalelarrazi@gmail.com","https://www.hospitalelarrazi.ma","2025-12-14 14:22:20"
"77","Jorf Elmelha","53","Route de Safi, 86000 Jorf El Melha","HPR","200","0523533333",NULL,NULL,"2025-12-14 14:22:20"
"78","Sidi Kacem","54","Route de Meknès, Sidi Kacem 16300","HP","400",NULL,"hospitalsec@hospitalsidi-kacem.ma","https://hospitalsidi-kacem.ma","2025-12-14 14:22:20"
"79","Sidi Slimane","55","Route de Rabat, Sidi Slimane","HP","250","0525535353","hospitalsidislimane@gmail.com","https://www.hospitalsidislimane.ma","2025-12-14 14:22:20"
"80","Princesse Lalla Aicha (Ancien Sidi Lahcen)","56","Route de Rabat, Témara","HP","300","0537711111",NULL,NULL,"2025-12-14 14:22:20"
"81","Haut Atlas Central","57","Route de Marrakech, Azilal","HP","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"82","Demnate","58","Route de Marrakech, Demnate, Marrakech-Safi","HPR","150","0248823456","hpdemenate@minss.gov.ma",NULL,"2025-12-14 14:22:20"
"83","Beni Mellal","59","Route de Marrakech, Béni Mellal 23000","HR","300",NULL,"hpbm@minss.gov.ma","https://www.minss.gov.ma/fr/hopitaux/hopital-beni-mellal","2025-12-14 14:22:20"
"84","Moulay Ismail","60","Route de Meknès, Kasba Tadla","HPR","500","0668423456",NULL,NULL,"2025-12-14 14:22:20"
"85","Beni Mellal","61","Ouled M'Barek, Beni Mellal","CRO","500","0525832311","hpbm@hopitaux.gov.ma","https://www.hpbm.ma","2025-12-14 14:22:20"
"86","Fquih Ben Salah","62","Route de Marrakech, Fquih Ben Salah, Marrakech-Safi","HP","200",NULL,NULL,NULL,"2025-12-14 14:22:20"
"87","Souk Sebt","62","Route de Marrakech, Fquih Ben Salah","HPR","150","0535622345","souksebt.hopital@fquihbensalah.ma","https://souksebt.hopital.ma","2025-12-14 14:22:20"
"88","Khenifra","63","Route de Meknès, Khenifra 57400","HP","400",NULL,NULL,NULL,"2025-12-14 14:22:20"
"89","M'Rirt","64","Route de Marrakech, M'Rirt, Marrakech-Safi","HPR","150","0524482222",NULL,NULL,"2025-12-14 14:22:20"
"90","Mohamed VI","65","Route de Bejaad, 24000 Bejaad","HPR","500","0538832345",NULL,NULL,"2025-12-14 14:22:20"
"91","Hassan II","66","Route de Marrakech, 26000 Khouribga","HP","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"92","Oued.Zem","67","Route de Sidi Slimane, 14000 Oued Zem","HPR","300","0535632300",NULL,NULL,"2025-12-14 14:22:20"
"93","Benslimane (Hassan II)","68","Route de Casablanca, Benslimane","HP","300","0525531200",NULL,NULL,"2025-12-14 14:22:20"
"94","Berrchid","69","Route de Casablanca, 22200 Berrechid","HP","250","0523932334",NULL,NULL,"2025-12-14 14:22:20"
"95","Errazi","69","Route de Casablanca, Berrechid","HPSYP","150",NULL,"info@hosperrazi.ma","https://www.hosperrazi.ma","2025-12-14 14:22:20"
"96","Azemmour","70","Route de l'hôpital, 36220 Azemmour","HPR","150",NULL,"azemmour.hopital@maroc.ma","https://www.hopital-azemmour.ma","2025-12-14 14:22:20"
"97","Mohamed V","71","Route de l'hôpital, 24000 El Jadida","HP","500",NULL,"hpmv@minss.gov.ma","https://www.minss.gov.ma","2025-12-14 14:22:20"
"98","Mediouna","72","Route de Safi, 44150 Médouina","HP","200","0524532323",NULL,NULL,"2025-12-14 14:22:20"
"99","Tit Mellil","73","Route de Sidi Hajjaj, 20620 Sidi Hajjaj","HPSYP","250",NULL,"titmellil@hopitaux.gov.ma","https://www.hopitaux.gov.ma/tit-mellil","2025-12-14 14:22:20"
"100","My Abdellah","74","Rue de la Liberté, Mohammadia","HP","500","0537631400","myabdellah@hopital.ma","https://www.hopitalmyabdellah.ma","2025-12-14 14:22:20"
"101","Bouskoura","75","Route de Casablanca, Bouskoura, Casablanca-Settat","HPR","200",NULL,"hospitalebouskoura@gmail.com","https://www.hospitalebouskoura.ma","2025-12-14 14:22:20"
"102","Prince My Hassan","76","Route de Casablanca, Dar Bouazza, Casablanca-Settat","HP","300",NULL,NULL,NULL,"2025-12-14 14:22:20"
"103","Ben Ahmed","77","Rue Ben Ahmed, Ben Ahmed (Mun.)","HPR","250","0543645412","info@benhamedhosp.com","https://www.benhamedhosp.com","2025-12-14 14:22:20"
"104","Hassan II","78","Route de l'Université, 26000 Settat","HP","500","0577733333",NULL,"https://www.hopitalhassan2.ma/","2025-12-14 14:22:20"
"105","Sidi Bennour","79","Route de Sidi Bennour, 48000 Sidi Bennour","HP","250","0249823456","hopital.sidi.bennour@maroc.mg","https://hopital-sidi-bennour.ma","2025-12-14 14:22:20"
"106","Zmamra","80","Route de Casablanca, 27100 Zemamra","HPR","500",NULL,"zmamra.hopital@maroc.ma","https://www.hopital-zmamra.ma","2025-12-14 14:22:20"
"107","20 Aout 1953","81","Boulevard Mohammed VI, 20000 El Jadida","HIR","500",NULL,"h20aout1953@minss.gov.ma","https://www.hopital20aout1953.ma","2025-12-14 14:22:20"
"108","Ibn Rochd","81","Boulevard Ibn Rochd, El Maarif, Casablanca","HIR","500","0522282828","info@hospitalibnrochd.ma","https://www.hospitalibnrochd.ma","2025-12-14 14:22:20"
"109","Hôpital D'enfants","81","Boulevard Mohammed VI, El Maarif, Casablanca","HIR","200","0522334455","hpedc@hopitaux-marocains.ma","https://www.hopitaux-marocains.ma/hpedc","2025-12-14 14:22:20"
"110","My Youssef","82","Boulevard Mohammed V, Sidi Belyout, Casablanca","HR","250","0522233456","myyoussef.hopital@gmail.com","https://www.my-youssef-hopital.ma","2025-12-14 14:22:20"
"111","Mohamed Baouafi","83","Route de Marrakech, Al-Fida","HP","150","0525832345","mohamed.baouafi@hopital-al-fida.ma","https://www.hopital-al-fida.ma","2025-12-14 14:22:20"
"112","Mohamed V","84","Boulevard Mohammed V, Hay Mohammadi, Marrakech","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"113","El Hassani","85","Rue El Hassani, Hay Hassani, Casablanca","HP","500","0522334455","elhassani.hospital@maroc.com","https://elhassanihospital.ma","2025-12-14 14:22:20"
"114","Centre de Léprologie","86","Route de Casablanca, Aïn Chock, Casablanca","HP","150","0522334455",NULL,NULL,"2025-12-14 14:22:20"
"115","Mohamed Sekkat","86","Route de Casablanca, Aïn Chock, Casablanca-Settat","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"116","Al Mansour","87","Rue Sidi Bernoussi, Sidi Bernoussi, Casablanca","HP","500","0522434343","info@almansourhospital.ma","https://www.almansourhospital.ma","2025-12-14 14:22:20"
"117","HPr Sidi Moumen","88","Route de Casablanca, Sidi Moumen, Casablanca-Settat","HPR","500","0522232323","hpsidimoumen@hopitaux.gov.ma","https://www.hopitaux.gov.ma/hopitaux/hpr-sidi-moumen","2025-12-14 14:22:20"
"118","Ben Msick","89","Route de l'hôpital, 20620 Ben M'Sick (Arrond.)","HP","500","0528831414",NULL,NULL,"2025-12-14 14:22:20"
"119","Sidi Othmane","90","Sidi Othmane, Sidi Othmane (Arrond.)","HP","180",NULL,NULL,NULL,"2025-12-14 14:22:20"
"120","Mohammed VI","91","Route de Tahannaout, 42500 Tahannaout","HP","250","0525582222",NULL,NULL,"2025-12-14 14:22:20"
"121","Mohamed Vi","92","Route de Marrakech, Chichaoua, Marrakech-Safi","HP","150","0524472222",NULL,NULL,"2025-12-14 14:22:20"
"122","Assalama","93","Route de Marrakech, El Kelaâ des Sraghna","HP","150","0524482311",NULL,NULL,"2025-12-14 14:22:20"
"123","Hôpital psychiatrique","93","Route de Marrakech, El Kelaâ des Sraghna, Marrakech-Safi","HPSYP","200","0248823456",NULL,NULL,"2025-12-14 14:22:20"
"124","Princesse Lalla Khadija","94","Route de Tamallalt, Tamallalt","HPR","150","0528832345","princesse.lalla.khadija@hopitaux-marocains.ma","https://hopitaux-marocains.ma/princesse-lalla-khadija","2025-12-14 14:22:20"
"125","Sidi Med Ben Abdellah","95","Route de Diabat, Essaouira 22000","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"126","Ibn Tofeil","96","Boulevard Mohammed V, Gueliz, Marrakech","HIR","500","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"127","Ibn Nafis","96","Boulevard Ibn Sina, Gueliz, Marrakech","CPU","500","0524433333",NULL,NULL,"2025-12-14 14:22:20"
"128","Hopital Mère-Enfant","96","Boulevard Mohammed V, Gueliz, Marrakech","HIR","500","0524433333","hme@hopitalmarrakech.ma","https://hopitalmarrakech.ma/","2025-12-14 14:22:20"
"129","Centre d'Hématologie Oncologie","96","Boulevard Mohammed V, Gueliz, Marrakech","HIR","500","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"130","Arrazi","96","Boulevard Mohammed V, Gueliz, Marrakech","HIR","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"131","Ibn Zohr","97","Boulevard de l'Académie, 40000 Marrakech","HR","1000","0524433131",NULL,NULL,"2025-12-14 14:22:20"
"132","El Antaki","97","Rue El Antaki, Marrakech-Médina, Marrakech","HR","150","0524382222",NULL,NULL,"2025-12-14 14:22:20"
"133","Mhamid","98","Route de Mhamid, Ménara, Marrakech","HPR","150","0524832345","mhamid.hopital@marrakech.ma","https://mhamid.hopital.ma","2025-12-14 14:22:20"
"134","Charifa","99","Sidi Youssef Ben Ali","HPR","80",NULL,NULL,NULL,"2025-12-14 14:22:20"
"135","Saada","100","Route de la ville, 12300 Saada","HPSYR","250","0538234567","saada.hopital@maroc.ma","https://saada.hopital.ma","2025-12-14 14:22:20"
"136","Benguerir","101","Route de Marrakech, 43150 Ben Guerir","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"137","Mohamed V","102","Route de l'hôpital, 46000 Safi","HP","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"138","Aisha","102","Route de l'hôpital, 46000 Safi","HPR","300","0557323456","aisha.hopital@safi.ma","https://aisha.hopital.ma","2025-12-14 14:22:20"
"139","Lalla Hasna","103","Route de Youssoufia, 46000 Youssoufia","HP","300",NULL,"lalla.hasna@hopital-marocain.ma","https://www.hopital-lalla-hasna.ma","2025-12-14 14:22:20"
"140","Sghiri Houmman I Ben Maati","104","Route de Meknès, Arfoud, Province de Errachidia","HPR","100",NULL,NULL,NULL,"2025-12-14 14:22:20"
"141","My Ali Cherif","105","Route de Meknès, Errachidia, 52400","HR","500","0536783131",NULL,NULL,"2025-12-14 14:22:20"
"142","Hôpital Amir Soultan Ibn Abdelaziz","105","Route de Meknès, Errachidia 52000","HP","200","0535532222",NULL,NULL,"2025-12-14 14:22:20"
"143","20 Aout (Goulmima)","106","Route de la ville, Goulmima, Province de Figuig, Région de Oriental","HPR","100",NULL,NULL,NULL,"2025-12-14 14:22:20"
"144","Midelt","107","Route de Meknès, 54200 Midelt","HP","150",NULL,NULL,NULL,"2025-12-14 14:22:20"
"145","HPr Rich","108","Rue du Docteur Abdelmoumen, 20100 Errachidia, Province de Er-Rich (Mun.)","HPR","300","0536781111",NULL,NULL,"2025-12-14 14:22:20"
"146","Sidi Hssain Bencer","109","Route de Marrakech, 45000 Ouarzazate","HP","200",NULL,"sidi-hssain-bencer@hopital-marocain.ma","https://www.hopital-marocain.ma/sidi-hssain-bencer","2025-12-14 14:22:20"
"147","Bougafer","109","Route de Marrakech, Ouarzazate","HP","250",NULL,"hpbougafer@minss.gov.ma","https://www.hpbougafer.ma","2025-12-14 14:22:20"
"148","HPr Kalaat M'gouna","110","Kalaat M'Gouna, Province de Ouarzazate","HPR","100",NULL,NULL,NULL,"2025-12-14 14:22:20"
"149","Tinghir","111","Route de Marrakech, Tinghir, Province de Tinghir, Région Drâa-Tafilalet","HP","150",NULL,NULL,NULL,"2025-12-14 14:22:20"
"150","Ed-Derrak","112","Route de Marrakech, 46000 Zagora","HP","150","0524842222",NULL,NULL,"2025-12-14 14:22:20"
"151","Hassan II","113","Route de l'aéroport, 80000 Agadir","HR","500","0528822222",NULL,NULL,"2025-12-14 14:22:20"
"152","C. d'Oncologie d'Agadir","113","Route de l'Ocean, 80000 Agadir","CRO","100","0528823333",NULL,NULL,"2025-12-14 14:22:20"
"153","Mokhtar Soussi","114","Route de la ville, BP 123, 68000 Biougra","HP","150","0525234567","mokhtar.soussi@hopital-biougra.ma","https://hopital-biougra.ma","2025-12-14 14:22:20"
"154","Inezgane","115","Route de l'Université, 80000 Inezgane, Marrakech","HP","500","0524432500",NULL,NULL,"2025-12-14 14:22:20"
"155","Oulad Teima","116","Oulad Teima (Mun.)","HPR","120",NULL,NULL,NULL,"2025-12-14 14:22:20"
"156","Mokhtar Es-Soussi","117","Route de Marrakech, 83000 Taroudant","HP","500","0528832244",NULL,NULL,"2025-12-14 14:22:20"
"157","Tata","118","Route de Marrakech, Tata, Marrakech-Safi","HP","150","0524482323",NULL,NULL,"2025-12-14 14:22:20"
"158","Hassan 1er","119","Route de la Plage, Tiznit","HP","200","0528831111",NULL,NULL,"2025-12-14 14:22:20"
"159","Houmman El Fatouaki","119","Route de la ville, Tiznit","HP","150","0528832314","info@hoummanelfatouaki.ma","https://hoummanelfatouaki.ma","2025-12-14 14:22:20"
"160","Assa","120","Route de Marrakech, Assa (Mun.)","HP","150","0558882211","assa.hopital@maroc.ma","https://www.hopitalassa.ma","2025-12-14 14:22:20"
"161","Bouizakaren","121","Bouizakarne","HPR","500",NULL,NULL,NULL,"2025-12-14 14:22:20"
"162","Guelmim","122","Route de la clinique, 23000 Guelmim","HR","250","0525832345","hcguelmim@hopitaux-marocains.ma","https://www.hopitaux-marocains.ma/hcguelmim","2025-12-14 14:22:20"
"163","Sidi Ifni","123","Route de l'hôpital, Sidi Ifni","HP","150","0528831234","hôpital.sidiifni@minss.gov.ma","https://www.minss.gov.ma/hôpitaux/sidi-ifni","2025-12-14 14:22:20"
"164","Hassan II","124","Route de la plage, 83 000 Tan Tan","HP","300","0528832222",NULL,NULL,"2025-12-14 14:22:20"
"165","Boujdour","125","Boujdour, BP 1, Boujdour, Dakhla-Oued Ed-Dahab","HP","400","0528832300",NULL,NULL,"2025-12-14 14:22:20"
"166","Es-Smara","126","Route de l'aéroport, Es-Semara, Province de Dakhla-Oued Ed-Dahab","HP","150","0528832334",NULL,NULL,"2025-12-14 14:22:20"
"167","My Hassan Ben El Mehdi","127","Route de Smara, Laayoune","HR","200","0525372222",NULL,NULL,"2025-12-14 14:22:20"
"168","Hassan II","127","BP 100, Laayoune (Mun.)","HR","500","0528833333",NULL,NULL,"2025-12-14 14:22:20"
"169","Laayoune","127","Route de Smara, Laayoune","CRO","500","0528833131",NULL,NULL,"2025-12-14 14:22:20"
"170","Hassan II","128","Route de l'aéroport, Dakhla","HR","150","0528832314","hassan2.dakhla@hopitaux-marocains.ma","https://hopitaux-marocains.ma/hassan2-dakhla","2025-12-14 14:22:20"
"171","Nom de l'hôpital",NULL,NULL,"CATÉGORIE","600",NULL,NULL,NULL,"2025-12-14 14:22:20"
"172","Haut Atlas Central",NULL,NULL,"HP","700",NULL,NULL,NULL,"2025-12-14 14:22:20"
"173","Demnate",NULL,"Route de Marrakech, Demnate","HPR","150",NULL,"demnate.hopital@minss.gov.ma","https://www.minss.gov.ma/fr/hopitaux/demnate","2025-12-14 14:22:20"
"174","Beni Mellal",NULL,"Route de Marrakech, 23000 Beni Mellal","HR","450",NULL,"hpbm@minss.gov.ma","https://www.hpbm.ma","2025-12-14 14:22:20"
"175","Moulay Ismail",NULL,"B.P. 4010, Meknès","HPR","1000",NULL,NULL,NULL,"2025-12-14 14:22:20"
"176","Fquih Ben Salah",NULL,"Route de Marrakech, 22000 Fquih Ben Salah","HP","300",NULL,"hcfbs@minss.gov.ma","https://www.hcfbs.ma","2025-12-14 14:22:20"
"177","Souk Sebt",NULL,"Souk Sebt","HPR","90",NULL,NULL,NULL,"2025-12-14 14:22:20"
"178","Khenifra",NULL,"Route de Meknès, 53200 Khenifra","HP","350",NULL,NULL,NULL,"2025-12-14 14:22:20"
