"id","name","category","activity","city","address"
"40","ALPHA PHAR","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, DM steriles DM non steriles","CASABLANCA","VILLA 390 NASSIM CASABLANCA"
"41","ALTHEA SA","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","CASABLANCA","76. ALLEE DES CASUARINAS AIN SEBAA 20 580 CASABLANCA"
"42","AMED DENTAL SARL AU","DISPOSITIF MÉDICAL","Importation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","47 RUE DE BRUXELLES IMMEUBLE A MAG 9 MARS SULTAN 20300 CASABLANCA"
"43","AMIF SARL AU","DISPOSITIF MÉDICAL","Fabrication Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","TEMARA","LOTISSEMENT 1234 QUARTIER EL WIFAK TEMARA"
"44","AMIPARA","DISPOSITIF MÉDICAL","Distribution, DM steriles DM non steriles","MARRAKECH","MAGASIEN RDC N 28 R?SIDENCE AL AKHAWAYN . SOCOMA 1 MARRAKECH"
"45","AMIYAD IMPLANTS SARL","DISPOSITIF MÉDICAL","Distribution, DM non steriles","RABAT","46. AVENUE OKBA APPARTEMENT 2 AGDAL RABAT"
"46","AMOUCH DENT SARL AU","DISPOSITIF MÉDICAL","Distribution, DM steriles DM non steriles","AGADIR","AVENUE JEBER BNE HAYAN BLOC A N 513 ELHOUDA AGADIR"
"47","AMOUDENT SARL","DISPOSITIF MÉDICAL","Importation, Distribution, Maintenance, DM steriles DM non steriles","CASABLANCA","RESIDENCE JARDINS DE LA VILLETTE RUE MORMOUCHA IMMEUBLE D APPARTEMENT 12 CASABLANCA"
"48","ARDCHIR NABIL","DISPOSITIF MÉDICAL","Distribution, DM non steriles","MARRAKECH","N 26 TRANCHE 3 DAR AL BIR WALI HSANE MARRAKECH"
"49","ASSIHA SARL","DISPOSITIF MÉDICAL","Importation, Distribution, DM steriles DM non steriles","CASABLANCA","514 . AVENUE 2 MARS ANDALOUS 2 CASABLANCA"
"50","ASSISTANCE MEDICALE ET DENTAIRE (AMED) SARL","DISPOSITIF MÉDICAL","Importation, Exportation, Distribution, Maintenance, DM steriles DM non steriles","MARRAKECH","BOULEVARD YACOUB EL MANSOUR RUE BATA GUELIZ MARRAKECH"
"51","AFRIC MED DISTRIBUTION,","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","RABAT","AVENUE ALLAL AL FASSI,MADINAT AL IRFANE,HAY RIAD 10000"
"52","BUMAGECO","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TANGER","LOT 6 RUE D' IFNI IMM ADIL"
"53","COOPER BENISNASSEN","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","BERKANE","12 RUE DE CAIRE HAY EL WAHDA"
"54","COOPER PHARMA REPARTITION","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","LOT 5, LOTISSEMENT ALAMIA SIDI MOUMEN"
"55","COOPER CHAOUIA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","KHOURIBGA","ZONE INDUSTRIELLE AMAL LOT 35"
"56","COOPER TENSIFT","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MARRAKECH","LOT N°382 QUARTIER INDUSTRIELSIDI GHANEM"
"57","C.P.M.","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","108, BD ABDELLAH BEN YASSINE"
"58","COPHAG","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","AGADIR","RTE DE TIZNITIMM SEDIK B. P.  125 AIT MELLOUL"
"59","COPHADIS","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","LAAYOUNE","LOT AL WAHDA,AVENUE HABBOUHA ,OULD LAABID,IMMEUBLE LAAYOUNE"
"60","C.P.R.E","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","FES","QUARTIER SIDI BRAHIM RUE DE FABRICATION N°808"
"61","DISTRIPHAK 2ÈME DÉPÔT","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","KENITRA","LOTISSEMENT DCC EL HAOUZIA"
"62","DISTRIPHAK SAKNIA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","KENITRA","LA ZONE D’ACTIVITE SAKNIA, LOT N°104(SIÈGE SOCIAL )"
"63","DISMEDIC","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","LOT BACHKOU RUE N°7 LOT 10"
"64","DISPHAT","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TAZA","LOT 112-113-114 B. P.  1235"
"65","DIPHARM","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","6 RUE SOCRATE IMM SOCRATE"
"66","DISPHANAD","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","SELOUANE","ZONE INDUSTRIELLE DE SELOUANE"
"67","GDIS","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","AGADIR","ZONE INDUSTRIELLE TASSILA N°176 DCHIRA"
"68","GIPHAR","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","5 RTE DE LA CONTINENENTALE"
"69","G.P.M","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","RUE IBNOU KATIR N°5 MAARIF"
"70","G.P.F","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","FES","26, RUE DE D’ARABIE SAOUDITE"
"71","GLOBALDIS","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MARRAKECH","BD ABDELKRIM EL KHATTABI RTE DE SAFI ET RTE DE CASABLANCA"
"72","KENIPHARMA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","KENITRA","N°8, RUE SAAD ZAGHLOUL, RESIDENCE MOULAY SLIMANE, LA VILLE HAUTE"
"73","LODIMED","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MARRAKECH","422-423 ZONE INDUSRIELLE SIDI GHANEM"
"74","MAREPHA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MOHAMMEDIA","82 ZONE IND SUD OUEST"
"75","MEDEXPERT","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","AGADIR","131 BD IBN AL HAYTAM ZI TASSILA DCHIRA AGADIR"
"76","MEDIREP","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","AGADIR","LOT E 4$1 $2. I.  TASSILLA DCHEIRA EL JIHADIA"
"77","MD5","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","21 RUE DES ASPHODELES MAARIF"
"78","MEDICOL","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TETOUAN","PLACE AL HAMAMA AV HASSAN II"
"79","ORIENTAL MEDICA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","OUJDA","299 BD DERFOUFI"
"80","O.R.P","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","SALE","HAY RAHMA RUE LAAYHOUNE LOT 1374 ZONE D ACTVITE TABRIQUET"
"81","PHARMACOOP","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","RABAT","N°12 QL QUARTIER INDUSTRIL TAKADOUM"
"82","PHARMA EST","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","OUJDA","N°112 BIS, ZONE INDUSTRIELLE."
"83","PHARMAMEC","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MEKNES","ZONE INDUSTRIELLE BASSATINE"
"84","PHARMANORD","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TANGER","43, BIS RUE AHMED CHAOUKI"
"85","PHARMASMIR","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TETOUAN","AIN KHABAZ RUE SEBOU B. P. 769"
"86","REPHAL","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","LARACHE","ZONE D’ACTIVITE HOSTALE LOT 34 B. P.  616"
"87","RECAMED","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","CASABLANCA","LOT N°1 LOT ALAMIA COMMUNE SIDI MOUMENE"
"88","REPHAK","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","KENITRA","ZONE INDUSTRIELLE BIR RAMI EST 14000"
"89","REPHAR","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","FES","1 BIS RUE RIBAT EL KHEIR VILLE NOUVELLE"
"90","SAHAR REPARTITION","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","LAAYOUNE","AVENUE DE LA MEQUE N°237 BUREAU 10"
"91","S.A.R.P","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","TANGER","RESIDENCE CHARF N°80 AV AL MANSOUR"
"92","SDM PHARMA","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","SALA AL JADIDA","AVENUE ABDERAHIM BOUABID"
"93","S.E.R.P","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MARRAKECH","16 IMM 53 ALKIRAME 2 BOKAR CIE MOHAMMADIA"
"94","SOPHANORD","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MEKNES","KM7 RTE D EL HAJEB B. P.  N° 212"
"95","SOPHATLANTIC","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","SAFI","DAR SI AISSA"
"96","SOPHAFAS","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","FES","2 RUE KHOURIBGUA QUARTIER DOKARAT"
"97","SOFASAIS","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","FES","N°36, RUE JABIR IBN HAYANE Q. I SIDI BRAHIM"
"98","SOPHAGHARB","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","MEKNES","30 LOT SIDI ZOUZEKRI"
"99","SOPHASALE","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","SALE","SEHB EL CAID IMM MAANINOU"
"100","SOPHACENTRE","GROSSISTE PHARMACEUTIQUE","Répartition Pharmaceutique","RABAT","RUE EL MAJD QUARTIER IND YACOUB EL MANSOUR"
